Time,Patch,mWW,mWH,mWR,mWB,mHH,mHR,mHB,mRR,mRB,mBB,fWW,fWH,fWR,fWB,fHH,fHR,fHB,fRR,fRB,fBB
1,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,4737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,18740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,4617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,17445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,4122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,16665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,4066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,15592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,3611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,14937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,3564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,13936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,3431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,13087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,3220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,12415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,2988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,11811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,2922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,11078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,2633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,10714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,2491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,10202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,2251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,9840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,9259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,2177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,8801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,8352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,1867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,8104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,1867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,7660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,7263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,6913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,6492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,1633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,6236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,1543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,5990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,5670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,5537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,5315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,5143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,4938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,4671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,4483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2,4350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,4193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2,4001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,3859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,3704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2,3558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,3460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,3302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,3188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,3067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2,2957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
